SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20160801|D1668R123|DDAIF|26|DAIMLER AG|67.92
20160801|D18190898|DB|28673|DEUTSCHE BANK AG NAMEN AKT (DE|13.44
20160801|G0114P100|AMLZF|160241|AFRICAN MINERALS LIMITED ORDIN|.
20160801|G01767105|ALKS|370|ALKERMES PLC ORDINARY SHS (IRE|49.90
20160801|G0177J108|AGN|140|ALLERGAN PLC ORD SHS (IRL)|252.95
20160801|G02602103|DOX|180|AMDOCS LTD ORD|58.36
20160801|G0335L102|ANFI|10124|AMIRA NATURE FOODS LTD ORD SHS|7.11
20160801|G037AX101|AMBA|3592|AMBARELLA, INC ORD SHS|57.98
20160801|G0408V102|AON|39|AON PLC ORD SHS CL A NEW (UK) |107.07
20160801|G0450A105|ACGL|85|ARCH CAPITAL GROUP LTD|72.63
20160801|G05011112|ARWAW|53|AROWANA INC WT EXP 04/29/2022 |0.09
20160801|G05384105|AHL|33|ASPEN INSURANCE HOLDINGS LTD O|45.96
20160801|G05384139|AHLPRA|100|ASPEN INSURANCE HLDGS LTD PERF|25.50
20160801|G05384147|AHLPRB|1939|ASPEN INSURANCE HOLDINGS LIMIT|26.49
20160801|G06242104|TEAM|40|ATLASSIAN CORP PLC CLA (GBR)|29.97
20160801|G0692U109|AXS|41|AXIS CAPITAL HOLDINGS LTD|55.58
20160801|G0750W104|AXON|7240|AXOVANT SCIENCES LTD COM SHS|14.80
20160801|G1151C101|ACN|6526|ACCENTURE PLC CL-A ORDINARY SH|112.81
20160801|G16234109|BBU|146|BROOKFIELD BUSINESS PARTNERS L|21.32
20160801|G16249107|BPY|3497|BROOKFIELD PPTY PARTNERS L P U|24.50
20160801|G16252101|BIP|1210|BROOKFIELD INFRASTRUCTURE PART|47.06
20160801|G16962105|BG|31|BUNGE LIMITED|65.84
20160801|G1757E105|CALVF|5246|CALEDONIA MNG CORP PLC SHS (JE|1.16
20160801|G1991C105|CATM|1066|CARDTRONICS PLC|43.99
20160801|G20307115|CFCOW|200|CF CORP WT EXP 05/25/21 (CYM) |0.80
20160801|G2113X134|CCCL|5591|CHINA CERAMICS CO LTD USD SHS |4.00
20160801|G2118P102|CCRC|918|CHINA CUSTOMER RELATIONS CTRS |12.60
20160801|G21612109|CLDC|15161|CHINA LENDING CORP SHS (VGB)|6.50
20160801|G21612117|CLDCW|7800|CHINA LENDING CORP WT EXP 03/3|0.18
20160801|G2519Y108|BAP|4788|CREDICORP LTD (COMM $5.00 PAR)|160.33
20160801|G25839104|CCE|835|COCA-COLA EUROPEAN PARTNERS PL|37.33
20160801|G27010100|DHRM|2943|DEHAIER MEDICAL SYS LTD COM ST|1.83
20160801|G27823106|DLPH|26578|DELPHI AUTOMOTIVE PLC|67.82
20160801|G30397106|ENH|158|ENDURANCE SPECIALTY HOLDINGS L|67.63
20160801|G3040R158|EDVMF|898|ENDEAVOUR MINING CORP SHS NEW |19.51
20160801|G30401106|ENDP|23981|ENDO INTL PLC ORD SHS (IRL)|17.36
20160801|G3105C104|ELEC|176|ELECTRUM SPL ACQUISITION CORP |9.81
20160801|G3105C112|ELECW|26360|ELECTRUM SPL ACQUISITION CORP |0.20
20160801|G3156P103|ASA|250|ASA GOLD AND PRECIOUS METALS L|16.03
20160801|G3157S106|ESV|950|ENSCO INTERNATIONAL PLC,LONDON|9.17
20160801|G3163G104|CNR|17319|CHINA METRO-RURAL HOLDINGS LIM|1.11
20160801|G3164Q101|CJESQ|2500|C&J ENERGY SVCS LTD|0.37
20160801|G32335104|EDSFF|11|EXCEED COMPANY LTD ORD SHS|0.58
20160801|G3323L100|FN|80|FABRINET ORD SHS (CYM)|37.76
20160801|G3682E192|FRO|56326|FRONTLINE LTD (BMU)|7.94
