SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20150817|B38564108|EURN|21235|EURONAV NV ANTWERPEN (BELGIUM)|14.36
20150817|D1668R123|DDAIF|445|DAIMLER AG|86.21
20150817|D18190898|DB|15338|DEUTSCHE BANK AG NAMEN AKT (DE|32.41
20150817|G00349103|ABY|84749|ABENGOA YIELD PLC ORD SHS (GBR|22.52
20150817|G0129K104|AYR|20|AIRCASTLE LIMITED COM|23.20
20150817|G0176J109|ALLE|314|ALLEGION PUB LTD CO (IRL)|63.60
20150817|G0177J108|AGN|1534|ALLERGAN PLC ORD SHS (IRL)|314.50
20150817|G02602103|DOX|142|AMDOCS LTD ORD|60.41
20150817|G0335L102|ANFI|232|AMIRA NATURE FOODS LTD ORD SHS|7.80
20150817|G037AX101|AMBA|12765|AMBARELLA, INC ORD SHS|108.62
20150817|G0408V102|AON|3140|AON PLC ORD SHS CL A NEW (UK) |101.30
20150817|G0450A105|ACGL|58|ARCH CAPITAL GROUP LTD|73.44
20150817|G0450A204|ARHPRC|517|ARCH CAPITAL GROUP LTD. 6.75% |26.70
20150817|G0457F107|ARCO|9|ARCOS DORADOS HOLDINGDS INC. C|3.34
20150817|G05384105|AHL|276|ASPEN INSURANCE HOLDINGS LTD O|49.38
20150817|G05384147|AHLPRB|1629|ASPEN INSURANCE HOLDINGS LIMIT|26.56
20150817|G0585R106|AGO|317|ASSURED GUARNATY LTD|26.66
20150817|G06207115|AFH|36|ATLAS FINANCIAL HOLDINGS INC. |17.00
20150817|G0692U117|AXSPRD|1577|AXIS CAPITAL HLDGS LTD PFD SR |24.56
20150817|G0750C108|AXTA|30950|AXALTA COATING SYS LTD COM SHS|30.38
20150817|G0750W104|AXON|46000|AXOVANT SCIENCES LTD COM SHS|11.71
20150817|G10082140|EXXI|229334|ENERGY XXI LTD COM SHS|1.73
20150817|G1151C101|ACN|146|ACCENTURE PLC CL-A ORDINARY SH|103.45
20150817|G16252101|BIP|119|BROOKFIELD INFRASTRUCTURE PART|42.05
20150817|G16258108|BEP|3761|BROOKFIELD RENEWABLE ENERGY PA|29.15
20150817|G16962105|BG|632|BUNGE LIMITED|76.31
20150817|G16962204|BGEPF|1400|Bunge Limited 4.875% Perpetual|100.50
20150817|G1899E146|CUPUF|2100|CARIBBEAN UTILITIES LTD CL-A|10.61
20150817|G21082105|CYD|2320|CHINA YUCHAI INTL LTD|15.12
20150817|G21101137|CHOP|100|CHINA GERUI ADVANCED MATERIALS|1.30
20150817|G21174100|CNIT|33742|CHINA INFORMATION|1.82
20150817|G23773107|CWCO|1459|CONSOLIDATED WATER CO., INC.|11.97
20150817|G25343107|CZZ|2|COSAN LIMITED SHS A (BERMUDA) |3.95
20150817|G27823106|DLPH|269|DELPHI AUTOMOTIVE PLC|76.22
20150817|G29183103|ETN|409|EATON CORP PLC (IRL)|59.96
20150817|G30337102|EMEXF|46543|EMERALD PLANTATION HLDGS LTD O|0.25
20150817|G30397106|ENH|3|ENDURANCE SPECIALTY HOLDINGS L|68.34
20150817|G30397304|ENHPRB|33|ENDURANCE SPECIALTY HLDGS LTD |26.21
20150817|G30401106|ENDP|10933|ENDO INTL PLC ORD SHS (IRL)|84.82
20150817|G3156P103|ASA|44|ASA GOLD AND PRECIOUS METALS L|8.37
20150817|G3157S106|ESV|9842|ENSCO INTERNATIONAL PLC,LONDON|16.60
20150817|G3163G104|CNR|1072|CHINA METRO-RURAL HOLDINGS LIM|1.07
20150817|G3164Q101|CJES|420|C&J ENERGY SVCS LTD|6.61
20150817|G3198U102|ESNT|170|ESSENT GROUP LTD COM SHS (BMU)|27.96
20150817|G3223R108|RE|315|EVEREST RE GP LTD(BERM)HLDG CO|185.70
20150817|G3323L100|FN|20|FABRINET ORD SHS (CYM)|18.95
20150817|G35569105|FLTX|1902|FLEETMATICS GROUP PLC (IRELAND|50.23
20150817|G3682E127|FRO|23411|FRONTLINE LTD|2.52
20150817|G37585109|GLOG|29662|GASLOG LTD COMMON SHS (BERMUDA|14.62
20150817|G37585117|GLOGPRA|100|GASLOG LTD CUM RED PERP PFD SH|25.06
20150817|G38327105|GPRK|2220|GEOPARK LTD. USD SHARES (BMU) |4.05
20150817|G3922B107|G|673|GENPACT LIMITED|22.62
20150817|G39637106|GOGL|9130|GOLDEN OCEAN GROUP LTD NEW SHS|3.60
20150817|G4388N106|HELE|336|HELEN OF TROY LTD-NEW-BERMUDA |90.71
20150817|G4412G101|HLF|3939|HERBALIFE LTD|59.43
20150817|G4481U106|HIHO|1804|HIGHWAY HOLDINGS LTD|3.90
20150817|G4617B105|HZNP|1308|HORIZON PHARMA PLC ORD SHS (IR|30.65
20150817|G48833100|WFT|21139|WEATHERFORD INT'L PLC (IRELAND|9.89
20150817|G50871105|JAZZ|2|JAZZ PHARMACEUTICALS PLC COM S|184.46
20150817|G5258J109|KING|78493|KING DIGITAL ENTMT PLC ORD SHS|13.53
20150817|G5315B107|KOS|26650|KOSMOS ENERGY LTD|7.06
20150817|G5480U104|LBTYA|95|LIBERTY GLOBAL PLC SHS CL A|52.02
20150817|G5480U138|LILA|6|LIBERTY GLOBAL PLC LILAC SHS C|39.31
20150817|G5480U153|LILAK|13|LIBERTY GLOBAL PLC LILAC SHS C|39.09
20150817|G5753U120|MHPRA|110|MAIDEN HOLDINGS, LTD. PREF SHS|26.40
20150817|G5866L108|GGAC|318|GARNERO GROUP ACQUISITION CO|9.76
20150817|G5876H105|MRVL|128|MARVELL TECH GROUP LTD|12.43
20150817|G6S01W108|PGN|49316|PARAGON OFFSHORE PLC (GBR)|0.61
20150817|G60754101|KORS|312|MICHAEL KORS HLDGS LTD ORD SHS|43.37
20150817|G6331P104|AOSL|51|ALPHA & OMEGA SEMICONDUCTOR LT|7.51
20150817|G65431101|NE|14080|NOBLE CORP PLC ORD SHS (UK)|12.20
20150817|G65773106|NAT|123|NORDIC AMERICAN TANKERS LTD SH|14.98
20150817|G6613P202|NADL|36418|NORTH ATLANTIC DRILLING LTD CO|0.79
20150817|G67742109|OB|76|ONEBEACON INSURANCE GROUP LTD |15.60
20150817|G6852T105|PRE|219|PARTNERRE LTD|138.39
20150817|G68603409|PREPRD|1458|PARTNERRE LTD PFD SER D 6.5%|26.90
20150817|G68603508|PREPRE|1955|PARTNERRE LTD. PFD SER E (BERM|27.90
20150817|G7S00T104|PNR|192|PENTAIR PLC|61.67
20150817|G7185A102|PTGEF|5000|PORTAGE BIOTECH INC. ORDINARY |0.19
20150817|G72436101|PACQF|27|PRIME ACQUISITION CORP|3.10
20150817|G72800108|PRTA|812|PROTHENA CORP PLC SHS (IRL)|60.91
20150817|G7293H189|PUKPRA|502|PRUDENTIAL PLC 6.50 EXCHG PERP|26.15
20150817|G73268107|QTNT|14|QUOTIENT LIMITED ORDINARY SHAR|16.39
20150817|G73268123|QTNTW|9|QUOTIENT LTD WTS EXP 10/30/15 |4.60
20150817|G7496G103|RNR|110|RENAISSANCERE HOLDINGS LTD|108.07
20150817|G7498P119|RNRPRE|1211|RENAISSANCERE HOLDGINGS LTD 5.|24.80
20150817|G7665A101|RDC|565|ROWAN COMPANIES INC (UK)|16.62
20150817|G7945E105|SDRL|203724|SEADRILL LIMITED (BERMUDA)|7.87
20150817|G7945M107|STX|14085|SEAGATE TECH PLC (IRL)|52.02
20150817|G81075106|SFL|85|SHIP FINANCE INTERNATIONAL LTD|16.08
20150817|G8477B105|DELT|2423|DELTA TECHNOLOGIES HLDGS LTD U|2.27
20150817|G8675X107|TANH|3976|TANTECH HLDGS LTD COM STK (VGB|23.21
20150817|G87210103|UTIW|226|UTI WORLDWIDE INC|7.91
20150817|G87264100|TGLS|80849|TECNOGLASS INC COM|14.09
20150817|G8766E109|TGH|48338|TEXTAINER GROUP HOLDINGS LTD (|17.78
20150817|G8807B106|TBPH|283|THERAVANCE BIOPHARMA INC ORD S|11.94
20150817|G8827U100|TPRE|28|THIRD PT REINSURANCE LTD COM S|14.26
20150817|G89982113|TAT|2371|TRANSATLANTIC PETROLEUM LTD OR|2.83
20150817|G9019D104|TVPT|14|TRAVELPORT WORLDWIDE LTD COM S|14.01
20150817|G9319H102|VR|144|VALIDUS HOLDINGS, LTD|46.85
20150817|G9363W104|VIEWF|2910|VIEWTRAN GROUP INC, ORD SHS|0.96
20150817|G9456A100|GLNG|19|GOLAR LNG LTD (BERMUDA)|37.97
20150817|G96666105|WSH|171|WILLIS GROUP HOLDINGS PUBLIC L|46.25
20150817|G97822103|PRGO|65|PERRIGO COMPANY PLC (IRL)|196.00
20150817|G98290102|XL|729|XL GROUP PLC ORDINARY SHS (IRE|40.18
20150817|G98847117|YECO|271|YULONG ECO-MATLS LTD ORD SHS N|4.08
20150817|H0023R105|ACE|705|ACE LIMITED (SWITZERLAND)|109.67
20150817|H01531104|AWH|296|ALLIED WORLD ASSURANCE COMP HL|43.18
20150817|H03579101|EARS|150|AURIS MED HLDG AG COM|5.04
20150817|H2906T109|GRMN|1870|GARMIN LTD COM STK (CH)|39.90
20150817|H42097107|UBS|18102|UBS GROUP AG ORD SHS (CHE)|22.09
20150817|H50430232|LOGI|236|LOGITECH INTERNATIONAL S.A .OR|13.60
20150817|H84689100|TCPI|41|TCP INTERNATIONAL HLDGS LTD CO|3.23
20150817|H84989104|TEL|268|TE CONNECTIVITY LTD|62.53
20150817|H8817H100|RIG|138461|TRANSOCEAN LTD (SWITZERLAND)|13.74
20150817|H89231338|OUBSF|38|USB AG (NEW)|22.03
20150817|L0427L105|ATTO|112|ATENTO S A ORD SHS (LUX)|12.74
20150817|L5140P101|I|4687|INTELSAT S A COM (LUX)|9.83
20150817|L7257P106|PACD|119|PACIFIC DRILLING S.A.LUXEMBOUR|2.11
20150817|L72967109|OEC|1|ORION ENGINEERED CARBONS S.A.(|18.34
20150817|L9340P101|TSE|4977|TRINSEO S.A. ORD SHS|31.86
20150817|M0854Q105|ALLT|1730|ALLOT COMMUNICATIONS LTD ORD S|5.12
20150817|M15332121|ATTU|10|ATTUNITY LTD. NEW ORDINARY SHA|14.58
20150817|M20115180|BOSC|951|BOS BETTER ONLINE SOLUTIONS LT|2.24
20150817|M20156101|ORPN|400|BIO BLAST PHARMA LTD SHS (ISR)|5.45
20150817|M2239P109|ADHD|5538|ALCOBRA LTD ORD SHS (ISR)|8.71
20150817|M22465104|CHKP|33|CHECK POINT SOFTWR TECHNLS LTD|80.82
20150817|M25722105|CGEN|7607|COMPUGEN LTD|5.78
20150817|M2682V108|CYBR|78948|CYBERARK SOFTWARE LTD. ORDINAR|58.70
20150817|M37576101|EVSNF|1346969|ELBIT VISION SYSTEMS LTD|0.22
20150817|M39927120|ELLO|236|ELLOMAY CAPITAL LTD ORDINARY S|9.60
20150817|M40184109|ELTK|704|ELTEK LTD|1.13
20150817|M4119S104|EVGN|69|EVOGENE LTD ORD SHRS ORD SHARE|8.85
20150817|M4146Y108|EZCH|13802|EZCHIP SEMICONDUCTOR LIMITED O|20.66
20150817|M46135105|FOMX|400|FOAMIX PHARMACEUTICALS LTD ORD|9.79
20150817|M51363113|MLNX|892|MELLANOX TECHNOLOGIES, LTD ORD|42.92
20150817|M51474118|GILT|135|GILAT SATELLITE NETWORKS LTD N|4.54
20150817|M52514102|HAIPF|356|HADERA PAPER LTD SHS (ISRAEL) |30.49
20150817|M5920A109|ICL|1237|ISRAEL CHEMICALS LTD (ISRAEL) |6.65
20150817|M6158M104|ITRN|27|ITURAN LOCATION & CONTROL LTD |25.96
20150817|M6372Q113|KRNT|611|KORNIT DIGITAL LTD ORD SHS (IS|13.16
20150817|M6778Q121|LMNS|76|LUMENIS LTD CL B ORD SHS (ISR)|13.88
20150817|M6787E101|CALL|8392|MAGICJACK VOCALTEC LTD ORD SHS|8.70
20150817|M69676126|MTSL|19|MER TELEMANAGEMENT SOLUTIONS L|1.48
20150817|M70240102|MNDO|279|MIND C.T.I. LTD|2.71
