SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20140801|G6583A102|NORD|319|NORD ANGLIA EDUCATION INC ORD |18.80
20140801|G6613P202|NADL|3027|NORTH ATLANTIC DRILLING LTD CO|9.75
20140801|G6648D109|HLSS|20535|HOME LN SERVICING SOLUTIONS LT|21.40
20140801|G6769T115|ORXGF|2163|ORCA EXPLORATION GROUP INC SHS|3.03
20140801|G67742109|OB|43|ONEBEACON INSURANCE GROUP LTD |14.80
20140801|G67828106|SEED|673|ORIGIN AGRITECH LIMITED|2.17
20140801|G6852T105|PRE|112|PARTNERRE LTD|104.36
20140801|G6855A103|OXFD|927|OXFORD IMMUNOTEC GLOBAL PLC|15.90
20140801|G6856M106|OXBR|17701|OXBRIDGE RE HOLDINGS LTD ORD S|7.52
20140801|G68603128|PREPRF|100|PARTNERRE LTD. REDEEMABLE PREF|24.07
20140801|G68603409|PREPRD|1258|PARTNERRE LTD PFD SER D 6.5%|25.09
20140801|G68603508|PREPRE|498|PARTNERRE LTD. PFD SER E (BERM|26.52
20140801|G7S00T104|PNR|538|PENTAIR PLC|64.07
20140801|G7114V102|PME|4785|PINGTAN MARINE ENTERPRISE LTD |2.53
20140801|G7114V110|PMEWW|1|PINGTAN MARINE ENTERPRISE LTD |0.13
20140801|G7127P100|PTP|90|PLATINUM UNDERWRITERS HLDGS LT|58.60
20140801|G7185A102|PTGEF|3629|PORTAGE BIOTECH INC. ORDINARY |0.18
20140801|G72800108|PRTA|36|PROTHENA CORP PLC SHS (IRL)|17.36
20140801|G7415M108|RCON|24627|RECON TECHNOLOGY LTD ORD SHS (|4.33
20140801|G7495T106|EBODF|781|RENEWABLE ENERGY TRADE BOARD C|4.00
20140801|G7496G103|RNR|1196|RENAISSANCERE HOLDINGS LTD|97.81
20140801|G7498P119|RNRPRE|1638|RENAISSANCERE HOLDGINGS LTD 5.|22.78
20140801|G7665A101|RDC|758|ROWAN COMPANIES INC (UK)|30.52
20140801|G7945E105|SDRL|106853|SEADRILL LIMITED (BERMUDA)|36.26
20140801|G7945M107|STX|1464|SEAGATE TECH PLC (IRL)|58.60
20140801|G7982P104|DJSP|8400|DJSP ENTERPRISES INC (VG)|0.69
20140801|G80751103|SGOC|100|SGOCO TECHNOLOGY LTD ORD SHS (|1.76
20140801|G81075106|SFL|2020|SHIP FINANCE INTERNATIONAL LTD|18.20
20140801|G81276100|SIG|24|SIGNET JEWELERS LTD COM SHS|101.79
20140801|G81477104|SINA|1084|SINA CORPORATION|48.39
20140801|G86659102|TLOFF|3700|TALON METALS CORP (VIRGIN ISLA|0.27
20140801|G87210103|UTIW|2362|UTI WORLDWIDE INC|9.46
20140801|G87264100|TGLS|1055|TECNOGLASS INC COM|10.70
20140801|G8766E109|TGH|327|TEXTAINER GROUP HOLDINGS LTD (|36.57
20140801|G8807B106|TBPH|18|THERAVANCE BIOPHARMA INC ORD S|28.03
20140801|G88576106|THRSF|10000|Thunderbird Resorts, Inc. Ordi|0.71
20140801|G8988C105|TWGP|9400|TOWER GROUP INTL LTD COM STK (|2.15
20140801|G9108L124|TNPPRB|1873|TSAKOS ENERGY NAVIGATION LTD R|24.79
20140801|G9108L132|TNPPRC|1861|TSAKOS ENERGY NAVIGATION LTD R|25.81
20140801|G96666105|WSH|4291|WILLIS GROUP HOLDINGS PUBLIC L|40.75
20140801|G97822103|PRGO|6479|PERRIGO COMPANY PLC (IRL)|150.45
20140801|G98290102|XL|465|XL GROUP PLC ORDINARY SHS (IRE|32.24
20140801|H0023R105|ACE|726|ACE LIMITED (SWITZERLAND)|100.10
20140801|H01531104|AWH|612|ALLIED WORLD ASSURANCE COMP HL|36.01
20140801|H27178104|FWLT|2|FOSTER WHEELER AG (SWITZERLAND|32.96
20140801|H2906T109|GRMN|77472|GARMIN LTD COM STK (CH)|55.04
20140801|H84689100|TCPI|187|TCP INTERNATIONAL HLDGS LTD CO|8.64
20140801|H84989104|TEL|962|TE CONNECTIVITY LTD|61.89
20140801|H8817H100|RIG|816|TRANSOCEAN LTD (SWITZERLAND)|40.34
20140801|H89128104|TYC|797|TYCO INTERNATIONAL LTD COM STK|43.15
20140801|H89231338|UBS|226|USB AG (NEW)|17.17
20140801|L00849106|AGRO|8|ADECOAGRO S A COM SHS (LUX)|9.96
20140801|L0175J104|ASPS|45|ALTISOURCE PORTFOLIO SOLUTIONS|108.38
20140801|L0302D178|MTCN|321|ARCELORMITTAL 6% MANDATORILTY |22.93
20140801|L5140P101|I|200|INTELSAT S A COM (LUX)|18.54
20140801|L5140P119|IPRA|485|INTELSAT S A MANDATORY CONV JR|49.25
20140801|L72967109|OEC|1350|ORION ENGINEERED CARBONS S.A.(|17.00
20140801|M15332121|ATTU|28|ATTUNITY LTD. NEW ORDINARY SHA|7.15
20140801|M15342104|AUDC|1926|AUDIOCODES LTD|5.63
20140801|M20791105|CAMT|44436|CAMTEK LTD.|3.71
20140801|M22013102|CRNT|23814|CERAGON NETWORKS LTD|2.00
20140801|M2239P109|ADHD|11421|ALCOBRA LTD ORD SHS (ISR)|17.42
20140801|M22465104|CHKP|124|CHECK POINT SOFTWR TECHNLS LTD|67.87
20140801|M26895108|CYRN|39|CYREN LTD|2.33
20140801|M37576101|EVSNF|264|ELBIT VISION SYSTEMS LTD|0.11
20140801|M3760D101|ESLT|575|ELBIT SYSTEMS LTD|62.74
20140801|M39927120|ELLO|300|ELLOMAY CAPITAL LTD ORDINARY S|9.25
20140801|M4146Y108|EZCH|478|EZCHIP SEMICONDUCTOR LIMITED O|24.17
20140801|M47238106|GLMD|150|GALMED PHARMACEUTICALS LTD. SH|7.92
20140801|M4793C102|GZT|1659|GAZIT GLOBE LTD ORD SHS (ISR) |13.26
20140801|M51363113|MLNX|4877|MELLANOX TECHNOLOGIES, LTD ORD|41.65
20140801|M6158M104|ITRN|171|ITURAN LOCATION & CONTROL LTD |23.00
20140801|M6787E101|CALL|14025|MAGICJACK VOCALTEC LTD ORD SHS|14.27
20140801|M7516K103|NVMI|100|NOVA MEASURING INSTRUMENTS LTD|10.13
20140801|M81873107|RDWR|109|RADWARE LTD|16.39
20140801|M84116108|SILC|10955|SILICOM LTD|26.84
20140801|M85548101|SSYS|65|STRATASYS LTD ORD SHS (ISRAEL)|100.54
20140801|M8791A109|OTIV|356|ON TRACK INNOVATIONS LTD|2.09
20140801|M87915274|TSEM|184|TOWER SEMICONDUCTOR LTD ORD SH|10.11
20140801|M9068E105|SODA|387187|SODASTREAM INTERNATIONAL LTD|33.00
20140801|N00985106|AER|169|AERCAP HOLDINGS NV ORD SHS|43.63
20140801|N07059210|ASML|376|ASML HOLDING NV NY REG SHS NEW|94.16
20140801|N20944109|CNHI|21254|CNH INDUSTRIAL N V COM SHS (NL|9.21
20140801|N22717107|CLB|195|CORE LABS N.V.|146.43
20140801|N47279109|INXN|1900|INTERXION HOLDING N.V ORD SHS |27.20
20140801|N53745100|LYB|1835|LYONDELLBASELL IND NV ORD SHS |106.25
20140801|N63218106|NLSN|31|NIELSEN N.V COM STK|46.11
20140801|N6596X109|NXPI|1015|NXP SEMICONDUCTORS N V|62.35
20140801|N6748L102|OFIX|106|ORTHOFIX INTL N V|33.06
20140801|N72482107|QGEN|3194|QIAGEN NV|24.43
20140801|N74108106|RHDGF|36|RETAIL HOLDINGS NV (AN)|19.40
20140801|N7716A151|SPNS|3|SAPIENS INTL CORP NV NEW|7.22
20140801|N7902X106|ST|300|SENSATA TECHNOLOGIES N.V. ORDI|46.24
20140801|N87237108|TRNX|34|TORNIER N V SHARES (NLD)|20.73
20140801|N90064101|QURE|168|UNIQURE N V ORD SHS (NLD)|10.22
20140801|N97284108|YNDX|24342|YANDEX N V CL A ORD SHS (NLD) |30.28
20140801|P16994132|BLX|46|BANCO LATINOAMERICANO DE COMER|29.69
20140801|P8696W104|SVA|1173|SINOVAC BIOTECH LTD|5.54
20140801|Q2145B158|CBDE|20564|CBD ENERGY LTD ORD SHS (AUS)|2.37
20140801|Q4968A101|IAUFF|45460|INTREPID MINES LIMITED ORDINAR|0.24
20140801|Q7264T104|PALAF|13300|PALADIN ENERGY LTD ORD SHS (AU|0.35
20140801|Q73622104|PARN|73|PARNELL PHARMACEUTICALS HLDGS |6.22
20140801|Q7759R100|PGLA|52051|PROGEN PHARMACEUTICALS LIMITED|0.21
20140801|Q9235V101|TROX|9|TRONOX LTD ORD SHS CL A (AUS) |26.54
20140801|V7780T103|RCL|101|ROYAL CARIBBEAN CRUISES LTD|59.65
