SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20090901|D1668R123|DAI|14069|DAIMLER AG|45.16
20090901|D18190898|DB|1588|DEUTSCHE BANK AG NAMEN AKT|67.58
20090901|E90215109|TLVT|260|TELEVENT GIT S.A. (SPAIN)|27.00
20090901|G0114P100|AMLZF|100|AFRICAN MINERALS LIMITED ORDIN|5.30
20090901|G0219G203|AWH|172|ALLIED WORLD ASSURANCE COMPANY|46.33
20090901|G02602103|DOX|108|AMDOCS LTD ORD|24.32
20090901|G02995101|ASI|1500|AMERICAN SAFETY INSURANCE HOLD|15.34
20090901|G03910109|ANNRF|2000|ANNUITY & LIFE RE HLDGS LTD|0.43
20090901|G04136100|APWR|217788|A-POWER ENERGY GENERATION SYST|8.22
20090901|G0450A105|ACGL|197|ARCH CAPITAL GROUP LTD|64.97
20090901|G0450A147|ARHPRA|1282|ARCH CAPITAL GROUP LTD 8% PFD |24.18
20090901|G0450A154|ARHPRB|358|ARCH CAPITAL GROUP LTD. 7.87% |23.00
20090901|G0464B107|AGII|213|ARGO GROUP INTERNATIONAL HOLDI|35.32
20090901|G0471F109|APAGF|40|APCO OIL AND GAS INTERNATIONAL|22.00
20090901|G0474B105|RAMS|3043|ARIES MARITIME TRANSPORT LTD|0.63
20090901|G0535E106|AWRCF|50|ASIA PACIFIC WIRE & CABLE CORP|2.50
20090901|G05384105|AHL|329|ASPEN INSURANCE HOLDINGS LTD O|25.40
20090901|G05384139|AHLPRA|687|ASPEN INSURANCE HLDGS LTD PERF|19.00
20090901|G0585R106|AGO|532|ASSURED GUARNATY LTD|19.90
20090901|G06750114|AUCWF|2496|AutoChina International Limite|4.70
20090901|G0692U109|AXS|325|AXIS CAPITAL HOLDINGS LTD|30.48
20090901|G10082108|EXXI|25000|Energy XXI (Bermuda) Limited C|0.74
20090901|G1151C101|ACNZZZZ|639170|ACCENTURE PLC CL-A ORDINARY SH|0.01
