SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20061201|000375204|ABB|28062|ABB LTD ADS ( 1 REG SHS)|.
20061201|00080V203|ABNPRF|26512|ABN AMRO HLDG N.V. CAP FDG TR|.
20061201|000833103|ACA|21392|ACA CAPITAL HOLDINGS INC COM|.
20061201|00088U108|ADAM|20319|A.D.A.M INC|.
20061201|000937102|ABN|15493|ABN AMRO HOLD N.V. ADS(1 ORD)|.
20061201|000973107|ACTMQ|75521|ACT MANUFACTURING INC|.
20061201|001004100|ADMT|13792|ADM TRONICS UNLIMITED INC|.
20061201|001058106|AFPC|158725|A F P IMAGING CORP|.
20061201|00106X100|AFVS|65116|AFV SOLUTIONS, INC|.
20061201|001225101|AMGJ|34445|AG MEDIA GROUP INC|.
20061201|001303106|GLOV|38403|AHPC HOLDINGS INC|.
20061201|001630102|ALRT|10000|ALR TECHNOLOGIES INC|.
20061201|00167K500|ADL|18434|AMDL INC|.
20061201|001963107|ASVI|147861|A S V INC|.
20061201|002097103|ASHI|22956|ASAP SHOW INC COM STK|.
20061201|002255107|AUO|52275|AU OPTRONICS CP ADS (10 COM)|.
20061201|002346104|AVII|35776|AVI BIOPHARMA INC|.
20061201|002432102|AVVW|39968|AVVAA WORLD HEALTH CARE PRODS|.
20061201|00288E300|ABMBF|19427|ABCOURT MINES INC CL-B (F)|.
20061201|003011103|IAF|22218|ABERDEEN AUSTRALIA EQUITY FUND|.
20061201|003654100|ABMD|10763|ABIOMED INC|.
20061201|003709102|ABLE|44271|ABLE ENERGY INC|.
20061201|003830106|ABP|24196|ABRAXAS PETROLEUM CORP.|.
20061201|003881208|CBMX|12624|ACACIA RESEARCH CORP AR COMBIM|.
20061201|003924107|ABY|500200|ABITIBI-CONSOLIDATED INC|.
20061201|004225108|ACAD|10431|ACADIA PHARMACEUTICALS INC|.
20061201|00430L103|ABPI|47285|ACCENTIA BIOPHARMACUETICALS IN|.
20061201|004325205|AKLMQ|27013|ACCLAIM ENTERTAINMENT INC|.
20061201|00436A200|ACBT|90337|Accountabilities, Inc. New Com|.
20061201|00438W101|ACUP|30905|ACCUPOLL HLDG CORP|.
20061201|00440P201|ACEAF|50000|ACE AVIATION HOLDINGS INC CL A|.
20061201|00443E104|ACGY|15395|ACERGY SA AMERICAN DEPOSITORY|.
20061201|00443T101|ASDFF|73640|ACERO-MARTIN EXPLORATION INC|.
20061201|004507109|ACIE|95000|ACIES CORPORATION|.
20061201|004724100|AMIIQ|39213|ACME METALS INC|.
20061201|00484M106|ACOR|11208|ACORDA THERAPEUTICS INC|.
20061201|004920104|APII|15598|ACTION PRODUCTS INTL INC|.
20061201|00506R109|AVWI|19184|ACTIONVIEW INTERNATIONAL INC|.
20061201|00507E107|ACTS|66773|ACTIONS SEMICONDUCTOR CO LTD A|.
20061201|00507F104|AGLV|183560|ACTIS Global Ventures, Inc. Co|.
20061201|00511R870|ACUS|29445|ACUSPHERE INC|.
20061201|005208103|ADES|27295|ADA-ES INC|.
20061201|00652E100|AUAYF|31565|Adanac Molybdenum Corporation|.
20061201|006848105|ADELQ|201250|ADELPHIA COMMUNICATNS CRP CL-A|.
20061201|00686R200|ADH|77613|ADHEREX TECHNOLOGIES INC COM S|.
