SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20130201|D18190898|DB|230|DEUTSCHE BANK AG NAMEN AKT (DE|51.66
20130201|G0129K104|AYR|771|AIRCASTLE LIMITED COM|13.80
20130201|G01767105|ALKS|9198|ALKERMES PLC ORDINARY SHS (IRE|23.05
20130201|G0229R108|ALTE|562|ALTERRA CAPITAL HLDGS LTD COM |30.47
20130201|G02602103|DOX|7616|AMDOCS LTD ORD|35.69
20130201|G0335L102|ANFI|400|AMIRA NATURE FOODS LTD ORD SHS|6.88
20130201|G0450A105|ACGL|1006|ARCH CAPITAL GROUP LTD|46.42
20130201|G0471F109|APAGF|411|APCO OIL AND GAS INTERNATIONAL|13.03
20130201|G05384105|AHL|720|ASPEN INSURANCE HOLDINGS LTD O|34.11
20130201|G05384139|AHLPRA|265|ASPEN INSURANCE HLDGS LTD PERF|26.98
20130201|G05384147|AHLPRB|673|ASPEN INSURANCE HOLDINGS LIMIT|26.86
20130201|G0539K108|AERL|177041|ASIA ENTERTAINMENT & RES LTD O|4.73
20130201|G0585R106|AGO|3288|ASSURED GUARNATY LTD|18.13
20130201|G0692U109|AXS|907|AXIS CAPITAL HOLDINGS LTD|38.27
20130201|G0692U208|AXSPRA|141|AXIS CAPITAL HOLDINGS, LTD PFD|25.83
20130201|G1151C101|ACN|911|ACCENTURE PLC CL-A ORDINARY SH|71.89
20130201|G11962100|MNGL|300|BLUE WOLF MONGOLIA HOLDING COR|9.88
20130201|G16252101|BIP|400|BROOKFIELD INFRASTRUCTURE PART|37.34
20130201|G16962105|BG|2937|BUNGE LIMITED|79.66
20130201|G20045202|CETV|20896|CENTRAL EUROPEAN MEDIA ENTRP-A|5.91
20130201|G21082105|CYD|716|CHINA YUCHAI INTL LTD|17.15
20130201|G2110U109|CHNR|499|CHINA NATURAL RESOURCES, INC|5.21
20130201|G21101103|CHOP|1380|CHINA GERUI ADVANCED MATERIALS|2.28
20130201|G21107100|CO|3147|CHINA CORD BLOOD CORP ORDINARY|2.62
20130201|G2113X100|CCCL|6523|CHINA CERAMICS CO (F)|3.05
20130201|G21174100|CNIT|5635|CHINA INFORMATION|1.03
20130201|G23773107|CWCO|803|CONSOLIDATED WATER CO., INC.|8.94
20130201|G2519Y108|BAP|1295|CREDICORP LTD (COMM $5.00 PAR)|156.73
20130201|G27010100|DHRM|2796|DEHAIER MEDICAL SYS LTD COM ST|1.96
20130201|G29183103|ETN|2455|EATON CORP PLC (IRL)|56.95
20130201|G3156P103|ASA|1136|ASA GOLD AND PRECIOUS METALS L|21.04
20130201|G3157S106|ESV|1064|ENSCO INTERNATIONAL PLC,LONDON|63.57
20130201|G3163G104|CNR|1004|CHINA METRO-RURAL HOLDINGS LIM|1.20
20130201|G3223R108|RE|727|EVEREST RE GP LTD(BERM)HLDG CO|115.81
20130201|G35569105|FLTX|1872|FLEETMATICS GROUP PLC (IRELAND|25.07
20130201|G36738105|FDP|31|FRESH DEL MONTE PRODUCE(ORD)|26.35
20130201|G3682E127|FRO|600|FRONTLINE LTD|3.47
20130201|G3704F102|FFHL|190|FUWEI FILMS (HOLDINGS) CO., LT|1.61
20130201|G3727Q101|FSL|10959|FREESCALE SEMICONDUCTOR LTD|14.45
20130201|G3922B107|G|13785|GENPACT LIMITED|16.75
20130201|G39319101|GBLI|54|GLOBAL INDEMNITY PLC COM STK (|21.11
20130201|G39320117|GAI|394|GLOBAL-TECH ADVANCED INNOVATIO|8.07
20130201|G4388N106|HELE|914|HELEN OF TROY LTD-NEW-BERMUDA |36.20
20130201|G4412G101|HLF|15591|HERBALIFE LTD|36.32
20130201|G47791101|IR|13992|INGERSOLL-RAND PLC ORD SHS (IR|51.39
20130201|G491BT108|IVZ|1407|INVESCO LTD (NEW)|27.25
20130201|G50871105|JAZZ|1600|JAZZ PHARMACEUTICALS PLC COM S|56.39
20130201|G5299G106|VLCCF|10838|KNIGHTSBRIDGE TANKERS LTD|6.68
20130201|G55312105|JADE|6866|LJ INTL INC|2.01
20130201|G5784H106|MANU|318|MANCHESTER UTD PLC NEW|16.80
20130201|G5876H105|MRVL|553|MARVELL TECH GROUP LTD|9.25
20130201|G62185114|MRHPRA|405|MONTPELIER RE HLDNG LTD NON CU|27.34
20130201|G6331P104|AOSL|3552|ALPHA & OMEGA SEMICONDUCTOR LT|8.11
20130201|G6359F103|NBR|12882|NABORS INDS LTD (NEW) BERMUDA |16.67
20130201|G64626115|NEWL|461145|NEWLEAD HOLDINGS LTD|1.28
20130201|G65773106|NAT|21734|NORDIC AMERICAN TANKERS LTD SH|8.64
20130201|G6648D109|HLSS|22|HOME LN SERVICING SOLUTIONS LT|21.74
20130201|G67742109|OB|2656|ONEBEACON INSURANCE GROUP LTD |13.66
20130201|G68603409|PREPRD|1134|PARTNERRE LTD PFD SER D 6.5%|25.43
20130201|G7127P100|PTP|1453|PLATINUM UNDERWRITERS HLDGS LT|48.73
20130201|G72800108|PRTA|18092|PROTHENA CORP PLC SHS (IRL)|6.01
20130201|G7293H114|PUKPR|1029|PRUDENTIAL PLC PERPETUAL SUB C|25.47
20130201|G7415M108|RCON|461|RECON TECHNOLOGY LTD ORD SHS (|1.60
20130201|G7496G103|RNR|1553|RENAISSANCERE HOLDINGS LTD|85.64
20130201|G7665A101|RDC|1776|ROWAN COMPANIES INC (UK)|34.48
20130201|G7945E105|SDRL|1320|SEADRILL LIMITED (BERMUDA)|39.68
20130201|G7945M107|STX|32707|SEAGATE TECH PLC (IRL)|33.98
20130201|G80751103|SGOC|2774|SGOCO TECHNOLOGY LTD ORD SHS (|1.20
20130201|G87210103|UTIW|205|UTI WORLDWIDE INC|14.76
20130201|G8766E109|TGH|14263|TEXTAINER GROUP HOLDINGS LTD (|41.45
20130201|G88685105|IDI|235|TIGER MEDIA INC (CYM)|1.02
20130201|G8918T103|TXIC|12080|TONGXIN INTERNATIONAL LTD. COM|0.74
20130201|G89982105|TAT|19052|TRANSATLANTIC PETROLEUM LTD OR|0.89
20130201|G9108L108|TNP|1285|TSAKOS ENERGY NAVIGATION LTD|4.22
20130201|G9319H102|VR|238|VALIDUS HOLDINGS, LTD|36.41
20130201|G93205113|VTG|4|VANTAGE DRILLING COMPANY ORD S|1.87
20130201|G93285107|VELT|99629|VELTI PLC, ST HELIER ORDINARY |3.72
20130201|G94368100|WCRX|10389|WARNER CHILCOTT PLC ORD SHS CL|14.17
20130201|G9456A100|GLNG|67|GOLAR LNG LTD (BERMUDA)|41.05
20130201|G9618E107|WTM|3|WHITE MOUNTAINS INSRN GRP,LTD |550.66
20130201|G9829R103|XTGRF|20262|XTRA-GOLD RESOURCES CORP COM S|0.78
20130201|H0023R105|ACE|840|ACE LIMITED (SWITZERLAND)|85.33
20130201|H01531104|AWH|539|ALLIED WORLD ASSURANCE COMP HL|84.83
20130201|H27013103|WFT|9631|WEATHERFORD INT'L LTD (SWITZER|13.35
20130201|H2906T109|GRMN|6714|GARMIN LTD COM STK (CH)|37.89
20130201|H4304K110|IQPOF|8400|IQ POWER AG NAMEN AKT (SWITZER|0.04
20130201|H50430232|LOGI|1243|LOGITECH INTERNATIONAL S.A .OR|6.64
20130201|H5833N103|NE|23763|NOBLE CORP ORD SHS (CHE)|40.50
20130201|H6169Q108|PNR|509|PENTAIR LTD|50.68
20130201|H84989104|TEL|710|TE CONNECTIVITY LTD|38.88
20130201|H8817H100|RIG|847393|TRANSOCEAN LTD (SWITZERLAND)|56.71
20130201|H89128104|TYC|21025|TYCO INTERNATIONAL LTD COM STK|30.23
20130201|H89231338|UBS|62366|USB AG (NEW)|17.37
20130201|L00849106|AGRO|4734|ADECOAGRO S A COM SHS (LUX)|8.50
20130201|L7257P106|PACD|22342|PACIFIC DRILLING S.A.LUXEMBOUR|10.41
20130201|M15332121|ATTU|302|ATTUNITY LTD. NEW ORDINARY SHA|7.59
20130201|M15342104|AUDC|2493|AUDIOCODES LTD|3.68
20130201|M15629104|BCOM|121|B COMMUNICATIONS LTD|3.93
20130201|M20115180|BOSC|1020|BOS BETTER ONLINE SOLUTIONS LT|4.25
20130201|M20157117|BPHX|317|BLUEPHOENIX SOLUTIONS, LTD|4.13
20130201|M20598104|CSTE|100|CAESARSTONE SDOT-YAM LTD ORD S|19.00
20130201|M20791105|CAMT|1000|CAMTEK LTD.|1.41
20130201|M22465104|CHKP|5801|CHECK POINT SOFTWR TECHNLS LTD|50.00
20130201|M23798107|CIMT|2978|CIMATRON LTD ORD SHS|7.14
20130201|M25596202|CTCH|1010|COMMTOUCH SOFTWARE LTD NEW|2.95
20130201|M3760D101|ESLT|670|ELBIT SYSTEMS LTD|38.21
20130201|M37605108|EMITF|779|ELBIT IMAGING LTD. ORD SHS|1.44
20130201|M39927120|ELLO|68|ELLOMAY CAPITAL LTD ORDINARY S|6.77
20130201|M40184109|ELTK|1100|ELTEK LTD|1.22
20130201|M4146Y108|EZCH|726|EZCHIP SEMICONDUCTOR LIMITED O|30.79
20130201|M4793C102|GZT|1000|GAZIT GLOBE LTD ORD SHS (ISR) |12.78
20130201|M51363113|MLNX|13157|MELLANOX TECHNOLOGIES, LTD ORD|53.22
20130201|M52514102|HAIPF|30|HADERA PAPER LTD SHS (ISRAEL) |47.48
20130201|M52523103|WILC|133|G.WILLI-FOOD INTL INC|5.40
20130201|M56595107|IGLD|247|INTERNET GOLD-GOLDEN LINES LTD|2.76
20130201|M6717V108|LAXAF|3962|LAXAI PHARMA LTD ORD SHS (ISR)|.
20130201|M6786D104|MAGS|3756|MAGAL SECURITY SYSTEMS LTD-ORD|4.26
20130201|M6787E101|CALL|65209|MAGICJACK VOCALTEC LTD ORD SHS|13.15
20130201|M69676126|MTSL|200|MER TELEMANAGEMENT SOLUTIONS L|4.31
20130201|M69897110|MTLK|639|METALINK LTD ORD SHS (ISR)|0.97
20130201|M70240102|MNDO|2370|MIND C.T.I. LTD|2.14
20130201|M78673106|PERI|1225|PERION NETWORK LTD ORD SHS (IS|10.65
20130201|M8183P102|RRST|387|RRSAT GLOBAL COMMUNICATIONS NE|8.00
20130201|M81865111|RDCM|1440|RADCOM LTD ORD SHS|4.00
20130201|M81873107|RDWR|240|RADWARE LTD|36.37
20130201|M82183126|ROSG|13967|ROSETTA GENOMICS LTD ORD SHS N|4.58
20130201|M84116108|SILC|557|SILICOM LTD|23.29
20130201|M85548101|SSYS|1113|STRATASYS LTD ORD SHS (ISRAEL)|78.48
20130201|M87245102|ELOS|2420|SYNERON MEDICAL LTD ORD SHARES|10.22
20130201|M8791A109|OTIV|8859|ON TRACK INNOVATIONS LTD|1.28
20130201|M87915274|TSEM|1770|TOWER SEMICONDUCTOR LTD ORD SH|8.38
20130201|M9068E105|SODA|39131|SODASTREAM INTERNATIONAL LTD|48.09
20130201|M97540138|VRYAF|2000|VIRYANET LIMITED NEW|0.46
20130201|M9763P108|VUNCF|85299|VUANCE LTD. ORDINARY SHARES (I|0.11
20130201|N00927348|AEF|202|AEGON NV PERPETUAL CAP SECURIT|25.47
20130201|N07059210|ASML|29585|ASML HOLDING NV NY REG SHS NEW|75.09
20130201|N07831105|AVG|219|AVG TECHNOLOGIES N V ORD SHS (|13.70
20130201|N20935206|CNH|1555|CNH GLOBAL N.V. (NEW)|47.74
20130201|N22717107|CLB|530|CORE LABS N.V.|127.64
20130201|N53745100|LYB|1808|LYONDELLBASELL IND NV ORD SHS |63.42
20130201|N63218106|NLSN|214|NIELSEN HOLDINGS B V COM STK (|32.51
20130201|N6596X109|NXPI|1660|NXP SEMICONDUCTORS N V|29.99
20130201|N72482107|QGEN|45|QIAGEN NV|21.00
20130201|N7716A151|SPNS|55955|SAPIENS INTL CORP NV NEW|5.00
20130201|N87237108|TRNX|18000|TORNIER N V SHARES (NLD)|17.24
20130201|N93540107|VPRT|270|VISTAPRINT NV ORD SHS (NL)|35.85
20130201|N97284108|YNDX|1696|YANDEX N V CL A ORD SHS (NLD) |24.21
20130201|P31076105|CPA|36|COPA HOLDINGS, S.A. CL A COM (|109.60
20130201|P8696W104|SVA|440|SINOVAC BIOTECH LTD|3.14
20130201|P94398107|ULTR|6586|ULTRAPETROL (BAHAMAS) LTD COM |2.12
20130201|Q4968A101|IAUFF|215|INTREPID MINES LIMITED ORDINAR|0.23
20130201|Q56767108|MMSDF|26100|MACARTHUR MINERALS LTD ORDINAR|0.50
20130201|U72603118|PLPM|77|PLANET PAYMENT INC COMMON SHAR|2.85
20130201|V3267N107|EXM|18991|EXCEL MARITIME CARRIER LTD(NEW|0.55
20130201|V7780T103|RCL|4164|ROYAL CARIBBEAN CRUISES LTD|36.20
20130201|Y0486S104|AVGO|430|AVAGO TECH LTD ORD SHS (SG)|35.77
20130201|Y09675102|TEU|19784|BOX SHIPS INCORPORATED SHS (MA|6.06
20130201|Y11082107|CPLP|7478|CAPITAL PRODUCT PARTNERS L P (|8.24
20130201|Y1771G102|CMRE|656|COSTAMARE INC COM STK (MHL)|15.75
20130201|Y1968P105|DAC|200|DANAOS CORPORATION COM STK (MA|4.06
20130201|Y2109Q101|DRYS|43487|DRYSHIPS INC.|2.16
20130201|Y2187A119|EGLE|4383|EAGLE BULK SHIPPING INC COM ST|2.06
20130201|Y2573F102|FLEX|13247|FLEXTRONICS INTL LTD|6.21
20130201|Y2685T107|GNK|2948|GENCO SHIPPING & TRADING LTD|3.34
20130201|Y27183105|GSL|4210|GLOBAL SHIP LEASE, INC. COM CL|3.87
20130201|Y27265209|GLBS|1400|GLOBUS MARITIME LIMITED COM ST|2.25
20130201|Y2745C102|GMLP|2814|GOLAR LNG PARTNERS LP COM UIT |29.50
20130201|Y62159101|NNA|1896|NAVIOS MARITIME ACQUISITION CO|2.78
20130201|Y62196103|NM|59|NAVIOS MARITIME HOLDINGS INC (|3.74
20130201|Y62267102|NMM|67853|NAVIOS MARITIME PARTNERS L.P. |14.82
20130201|Y64354205|ORIG|2|OCEAN RIG UDW INC|17.28
20130201|Y73760129|SHIP|14178|SEANERGY MARITIME|1.95
20130201|Y7388L103|SB|8286|SAFE BULKERS INC COM STK (MH) |4.02
20130201|Y7545W109|SDLP|5429|SEADRILL PARTNERS LLC COM UNIT|28.95
20130201|Y75638109|SSW|6882|SEASPAN CORPORATION COM SHS (M|18.74
20130201|Y75638125|SSWPRC|5|SEASPAN CORP 9.50% SER C RED P|27.27
20130201|Y8564M105|TGP|1489|TEEKAY LNG PARTNERS L.P. COM U|39.92
20130201|Y8564W103|TK|5168|TEEKAY CORPORATION (MARSHALL I|35.18
20130201|Y8565J101|TOO|770|TEEKAY OFFSHORE PARTNERS LP CO|27.55
20130201|Y8565N102|TNK|3000|TEEKAY TANKERS LTD CLASS A|2.86
20130201|000304105|AACAY|89|AAC TECHNOLOGIES HOLDINGS INC |38.68
20130201|000361105|AIR|1042|A A R CORP|18.85
