SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20130215|D1668R123|DDAIF|1328|DAIMLER AG|59.30
20130215|G0129K104|AYR|54|AIRCASTLE LIMITED COM|13.98
20130215|G01767105|ALKS|1281|ALKERMES PLC ORDINARY SHS (IRE|21.44
20130215|G0229R108|ALTE|617|ALTERRA CAPITAL HLDGS LTD COM |30.95
20130215|G02602103|DOX|273|AMDOCS LTD ORD|36.08
20130215|G0335L102|ANFI|10|AMIRA NATURE FOODS LTD ORD SHS|6.87
20130215|G0408V102|AON|238|AON PLC ORD SHS CL A NEW (UK) |57.30
20130215|G04136100|APWR|300|A-POWER ENERGY GENERATION SYST|0.06
20130215|G0450A105|ACGL|1122|ARCH CAPITAL GROUP LTD|47.69
20130215|G0450A204|ARHPRC|136|ARCH CAPITAL GROUP LTD. 6.75% |27.25
20130215|G0457F107|ARCO|2262|ARCOS DORADOS HOLDINGDS INC. C|12.73
20130215|G05384105|AHL|637|ASPEN INSURANCE HOLDINGS LTD O|35.56
20130215|G05384139|AHLPRA|972|ASPEN INSURANCE HLDGS LTD PERF|27.01
20130215|G05384147|AHLPRB|94|ASPEN INSURANCE HOLDINGS LIMIT|26.51
20130215|G0539K108|AERL|1534|ASIA ENTERTAINMENT & RES LTD O|3.90
20130215|G0692U307|AXSPRC|52|AXIS CAPITAL HOLDINGS LIMITED |27.73
20130215|G10082140|EXXI|9709|ENERGY XXI|32.22
20130215|G1151C101|ACN|25252|ACCENTURE PLC CL-A ORDINARY SH|73.13
20130215|G16252101|BIP|1902|BROOKFIELD INFRASTRUCTURE PART|39.52
20130215|G16962105|BG|7328|BUNGE LIMITED|73.99
20130215|G16962204|BGEPF|8|Bunge Limited 4.875% Perpetual|105.50
20130215|G17580104|CLKTF|700|CALCITECH LTD|0.01
20130215|G2110U109|CHNR|365|CHINA NATURAL RESOURCES, INC|5.44
20130215|G21101103|CHOP|2398|CHINA GERUI ADVANCED MATERIALS|2.63
20130215|G21107100|CO|45996|CHINA CORD BLOOD CORP ORDINARY|2.63
20130215|G21125102|CNWHF|16700|CHINA NETWORKS INTL HLDGS LTD |0.04
20130215|G2113X100|CCCL|915|CHINA CERAMICS CO (F)|3.22
