SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20160615|B38564108|EURN|1559|EURONAV NV ANTWERPEN (BELGIUM)|9.32
20160615|D1668R123|DDAIF|1200|DAIMLER AG|62.04
20160615|D18190898|DB|12225|DEUTSCHE BANK AG NAMEN AKT (DE|14.73
20160615|G0129K104|AYR|40|AIRCASTLE LIMITED COM|20.30
20160615|G0176J109|ALLE|724|ALLEGION PUB LTD CO (IRL)|67.63
20160615|G01767105|ALKS|23|ALKERMES PLC ORDINARY SHS (IRE|41.99
20160615|G0335L102|ANFI|3378|AMIRA NATURE FOODS LTD ORD SHS|7.06
20160615|G037AX101|AMBA|13345|AMBARELLA, INC ORD SHS|51.73
20160615|G0450A105|ACGL|15|ARCH CAPITAL GROUP LTD|69.63
20160615|G0464B107|AGII|303|ARGO GROUP INTERNATIONAL HOLDI|52.16
20160615|G05384105|AHL|266|ASPEN INSURANCE HOLDINGS LTD O|45.93
20160615|G05384139|AHLPRA|5369|ASPEN INSURANCE HLDGS LTD PERF|24.99
20160615|G0551A103|ARRS|11|ARRIS INTL LTD ORD SHS (GBR)|22.75
20160615|G0585R106|AGO|640|ASSURED GUARNATY LTD|25.59
20160615|G06207115|AFH|154|ATLAS FINANCIAL HOLDINGS INC. |17.50
20160615|G0692U109|AXS|154|AXIS CAPITAL HOLDINGS LTD|53.35
20160615|G07021127|HELIQ|88|CHC GROUP LTD SHS NEW (CYM)|0.45
20160615|G0750C108|AXTA|105|AXALTA COATING SYS LTD COM SHS|27.08
20160615|G0750W104|AXON|411|AXOVANT SCIENCES LTD COM SHS|12.96
20160615|G0751N103|ABY|46206|ATLANTICA YIELD PLC SHS (GBR) |17.09
20160615|G1151C101|ACN|44|ACCENTURE PLC CL-A ORDINARY SH|118.09
20160615|G16249107|BPY|764|BROOKFIELD PPTY PARTNERS L P U|24.00
20160615|G16258108|BEP|36|BROOKFIELD RENEWABLE PARTNERS |29.02
20160615|G16962105|BG|174|BUNGE LIMITED|62.17
20160615|G1757E105|CALVF|600|CALEDONIA MNG CORP PLC SHS (JE|0.94
