SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20050301|000375204|ABB|415048|ABB LTD ADS ( 1 REG SHS)|.
20050301|000788109|ABWG|139071|A.B. WATLEY GROUP INC|.
20050301|00080V203|ABNPRF|14137|ABN AMRO HLDG N.V. CAP FDG TR|.
20050301|000912105|ACG|33960|ACM INCOME FD|.
20050301|000955104|ACTT|207084|ACT TELECONFERENCING INC|.
20050301|000973107|ACTMQ|105095|ACT MANUFACTURING INC|.
20050301|001004100|ADMT|43221|ADM TRONICS UNLIMITED INC|.
20050301|00104Q107|AFCE|30822|AFC ENTERPRISES INC|.
20050301|001084102|AG|17835|AGCO CORP|.
20050301|001630102|ALRT|21466|ALR TECHNOLOGIES INC|.
20050301|00167K401|ADL|66378|AMDL INC|.
20050301|001765106|AMR|338629|AMR CORP|.
20050301|001765866|AAR|278796|AMR CRP 7.875% (PINES) 7/13/39|.
20050301|001813104|ANCJQ|22319|ANC RENTAL CORPORATION|.
20050301|00185T202|APFRF|21392|APF ENERGY FD TR UT|.
20050301|001941103|ATYT|13600|ATI TECHNLOGIES INC.|.
20050301|001957505|T|36060|A T & T CORP (NEW)|.
20050301|001986108|AETUF|24531|ARC ENERGY TRUST UTS|.
20050301|002083103|ATSI|10568|ATS MEDICAL INC|.
20050301|00208B105|ASTT|22859|ASAT HOLDINGS LTD ADS|.
20050301|00208J108|ATPG|22197|ATP OIL & GAS CORPORATION|.
20050301|00209H101|ATAHQ|279311|ATA HLDGS CORP|.
20050301|002346104|AVII|46208|AVI BIOPHARMA INC|.
20050301|002457109|AXJ|220086|AXM PHARMA INC|.
20050301|00252W104|AAII|475531|AAIPHARMA INC|.
20050301|00253U107|ASTM|147727|AASTROM BIOSCIENCES INC|.
20050301|002920700|ANBPRB|17395|ABBEY NATIONAL PLC (REP ONE SE|.
20050301|003011103|IAF|23382|ABERDEEN AUSTRALIA EQUITY FUND|.
20050301|003325107|ABRM|87122|ABERDENE MINES LTD|.
20050301|00339B107|ABGX|141991|ABGENIX INC|.
20050301|00371F206|AAC|52785|ABLEAUCTIONS.COM INC|.
20050301|003881307|ACTG|19459|ACACIA RESEARCH CORP AR ACIACI|.
20050301|00431M209|AKC|20329|ACCESS PHARMACEUTICALS INC|.
20050301|004325205|AKLMQ|27256|ACCLAIM ENTERTAINMENT INC|.
20050301|004329108|AIX|13945|ACCESS INTEGRATED TECHNOLOGIES|.
20050301|00433F202|ACTY|93586|ACCESSITY CORP NEW|.
20050301|00437P107|LEND|14209|ACCREDITED HOME LENDERS HLDG C|.
20050301|00437V104|ACDO|24865|ACCREDO HEALTH INC|.
20050301|00438W101|ACUP|59616|ACCUPOLL HLDG CORP|.
20050301|004507109|ACIE|23536|ACIES CORPORATION|.
20050301|004724100|AMIIQ|39521|ACME METALS INC|.
20050301|004933107|ATN|19593|ACTION PERFORMANCE COS INC|.
20050301|00504H202|ACSJ|739775|ACS HOLDINGS INC NEW|.
20050301|00504W100|ACPW|18790|ACTIVE POWER INC|.
20050301|00508B102|ACTU|42854|ACTUATE CORPORATION|.
20050301|00508Y102|AYI|50721|ACUITY BRANDS INC.|.
20050301|005208103|ADES|11680|ADA-ES INC|.
20050301|006533103|ADDI|12664|ADDISON-DAVIS DIAGNOSTICS, INC|.
20050301|006754105|ADO|13781|ADECCO SA ADS(RP 1 COMM)|.
20050301|006848105|ADELQ|41287|ADELPHIA COMMUNICATNS CRP CL-A|.
20050301|006848600|ADLMQ|18289|ADELPHIA COMMUNICATIONS CORP C|.
20050301|007131105|ADBRF|186174|ADMIRAL BAY RESOURCES INC|.
20050301|00737M101|ADPR|55916|ADSOUTH PARTNERS INC|.
20050301|00737P104|ADST|197700|ADSTAR INC|.
20050301|007486103|AVNA|51818|ADVANCE NANTECH INC|.
20050301|007511108|ADVC|51360|ADVANCED COMMUNICATIONS TECH|.
20050301|007518103|AVCD|26724|ADVANCED CMPTR TECHNIQUES CRP|.
20050301|00753P103|AVM|15268|ADVANCED MAGNETICS INC|.
20050301|00756M404|ASX|34864|AMER SEMI-COND ENG ADS (5CMSH)|.
20050301|00761J107|AVEE|21700|ADVANT-E CORPORATION|.
20050301|00762L101|AVNNF|80751|ADVANTAGE ENERGY INCOME TR UNI|.
20050301|00763M108|AVO|32139|ADVANCED MEDICAL OPTICS INC.|.
20050301|00764C109|AVK|18477|ADVENT CLAYMORE CONVERTIBLE SE|.
20050301|00765E104|LCM|57423|ADVENT/CLAYMORE ENHANCED GROWT|.
20050301|007779309|AEGN|285378|AEROGEN INC|.
20050301|007942204|ADVNB|18107|ADVANTA CORP CL-B|.
20050301|007975204|AEZS|10535|AETERNA ZENTARIS INC|.
20050301|00826T108|AFFX|119907|AFFYMETRIX INC|.
20050301|00845V100|AGRA|70256|AGERE SYSTEMS INC CL-A|.
20050301|00845V209|AGRB|61559|AGERE SYSTEMS INC. CL B|.
20050301|00846F104|AGMG|13899|AGENT 155 MEDIA GROUP, INC.|.
20050301|008474108|AEM|62487|AGNICO-EAGLE MINES LTD|.
20050301|008474132|AEMLW|25200|AGNICO EAGLE MINES LTD  11/07/|.
20050301|008494106|ABTXQ|20806|AGRIBIOTECH INC|.
20050301|008543100|AGPT|22500|AGRIPOST INC|.
20050301|008913204|AIRP|15000|AIR PACKAGING TECH INC-NEW|.
20050301|009158106|APD|14075|AIR PROD&CHEM INC|.
20050301|00941P403|ANCC|17917|AIRNET COMMUNICATIONS CORP NEW|.
20050301|00949P108|AAI|37354|AIRTRAN HOLDINGS INC|.
20050301|00971T101|AKAM|25520|AKAMAI TECHNOLOGIES INC|.
20050301|010392553|ALF|14430|ALABAMA POWER COMPANY SR NT SE|.
20050301|010392595|ALPPRN|15700|ALABAMA PWR 5.20% CL-A PRF|.
20050301|011527108|AGIGF|112959|ALAMOS GOLD INC|.
20050301|011589108|APCS|151585|ALAMOSA HOLDINGS INC|.
20050301|011612405|ALAN|31206|ALANCO TECHNOLOGIES INC|.
20050301|013904305|ALA|44331|ALCATEL ADS(EACH REP 1 ORD SH)|.
20050301|01435Q105|ALZTF|10000|ALDERSHOT RESOURCES LTD-NEW|.
20050301|015351109|ALXN|16232|ALEXION PHARMACEUTICALS INC|.
20050301|01566M204|ALGOF|11303|ALGOMA STEEL INC|.
20050301|017361106|AYE|64700|ALLEGHENY ENERGY INC|.
20050301|01855A101|AC|15115|ALLIANCE CAP MGMT HLDG LP|.
20050301|01858P105|ADTR|1757692|ALLIANCE DISTRIBUTORS HOLDING,|.
