SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20140515|D1668R123|DDAIF|48|DAIMLER AG|91.25
20140515|D18190898|DB|5917|DEUTSCHE BANK AG NAMEN AKT (DE|42.55
20140515|E8683R144|SANPRE|558|SANTANDER FIN PFD S.A. UNIPERS|26.19
20140515|G0083B108|ACT|2826|ACTAVIS PLC COM SHS (IRL)|206.08
20140515|G0129K104|AYR|145|AIRCASTLE LIMITED COM|17.45
20140515|G01767105|ALKS|56372|ALKERMES PLC ORDINARY SHS (IRE|45.01
20140515|G02602103|DOX|482|AMDOCS LTD ORD|47.09
20140515|G0335L102|ANFI|38542|AMIRA NATURE FOODS LTD ORD SHS|14.52
20140515|G037AX101|AMBA|3339|AMBARELLA, INC ORD SHS|23.51
20140515|G0408V102|AON|1115|AON PLC ORD SHS CL A NEW (UK) |85.92
20140515|G0450A105|ACGL|1162|ARCH CAPITAL GROUP LTD|56.71
20140515|G0450A204|ARHPRC|295|ARCH CAPITAL GROUP LTD. 6.75% |25.72
20140515|G0457F107|ARCO|78630|ARCOS DORADOS HOLDINGDS INC. C|8.65
20140515|G05384105|AHL|115|ASPEN INSURANCE HOLDINGS LTD O|45.62
20140515|G05384147|AHLPRB|1433|ASPEN INSURANCE HOLDINGS LIMIT|26.23
20140515|G05384154|AHLPRC|14|ASPEN INSURANCE HLDGS LTD FXD/|25.40
20140515|G06207115|AFH|73|ATLAS FINANCIAL HOLDINGS INC. |13.76
20140515|G0692U109|AXS|513|AXIS CAPITAL HOLDINGS LTD|44.74
20140515|G0692U117|AXSPRD|3542|AXIS CAPITAL HLDGS LTD PFD SR |22.28
20140515|G07021101|HELI|4307|CHC GROUP LTD ORDINARY SHARES |6.23
20140515|G10082140|EXXI|23938|ENERGY XXI|21.09
20140515|G1151C101|ACN|607|ACCENTURE PLC CL-A ORDINARY SH|78.85
20140515|G16249107|BPY|755|BROOKFIELD PPTY PARTNERS L P U|20.01
20140515|G16258108|BEP|423|BROOKFIELD RENEWABLE ENERGY PA|29.50
20140515|G16962105|BG|512|BUNGE LIMITED|77.54
20140515|G1899E146|CUPUF|100|CARIBBEAN UTILITIES LTD CL-A|10.36
20140515|G2110R114|IMOS|609|CHIPMOS TECHNOLOGIES BERMUDA L|22.55
20140515|G21101103|CHOP|735|CHINA GERUI ADVANCED MATERIALS|0.71
20140515|G21107100|CO|100|CHINA CORD BLOOD CORP ORDINARY|4.49
20140515|G21174100|CNIT|1390|CHINA INFORMATION|4.22
20140515|G21490209|CISAA|385|CIS ACQUISITION LTD CLASS A SH|10.20
20140515|G23773107|CWCO|481|CONSOLIDATED WATER CO., INC.|10.68
20140515|G25343107|CZZ|398|COSAN LIMITED SHS A (BERMUDA) |12.43
20140515|G2554F113|COV|470|COVIDIEN PLC|72.16
20140515|G27010100|DHRM|11883|DEHAIER MEDICAL SYS LTD COM ST|4.83
20140515|G27823106|DLPH|6044|DELPHI AUTOMOTIVE PLC|66.97
20140515|G29183103|ETN|227|EATON CORP PLC (IRL)|72.74
20140515|G30401106|ENDP|812|ENDO INTL PLC ORD SHS (IRL)|70.51
20140515|G3075P101|ESGR|16|ENSTAR GROUP LIMITED ORD SHS|133.84
20140515|G3156P103|ASA|638|ASA GOLD AND PRECIOUS METALS L|13.92
20140515|G3157S106|ESV|1567|ENSCO INTERNATIONAL PLC,LONDON|50.86
20140515|G3163G104|CNR|31260|CHINA METRO-RURAL HOLDINGS LIM|0.95
20140515|G3198U102|ESNT|328|ESSENT GROUP LTD COM SHS (BMU)|20.10
20140515|G3223R108|RE|90|EVEREST RE GP LTD(BERM)HLDG CO|157.05
20140515|G35569105|FLTX|188|FLEETMATICS GROUP PLC (IRELAND|27.35
20140515|G36738105|FDP|512|FRESH DEL MONTE PRODUCE(ORD)|28.21
20140515|G3682E127|FRO|2198|FRONTLINE LTD|2.85
20140515|G3727Q101|FSL|1300|FREESCALE SEMICONDUCTOR LTD|21.60
20140515|G3788M114|EROS|4230|EROS INTL PLC ORD SHS (IMN)|16.19
20140515|G3922B107|G|508|GENPACT LIMITED|17.23
20140515|G39300101|GSOL|4720|GLOBAL SOURCES LTD|8.52
20140515|G4388N106|HELE|663|HELEN OF TROY LTD-NEW-BERMUDA |61.85
20140515|G4412G101|HLF|45481|HERBALIFE LTD|61.24
20140515|G45667105|HOLI|336|HOLLYSYS AUTOMATION TECHNOLOGI|20.47
20140515|G4705A100|ICLR|148|ICON PLC ADR|40.84
20140515|G491BT108|IVZ|3453|INVESCO LTD (NEW)|35.58
20140515|G50871105|JAZZ|128|JAZZ PHARMACEUTICALS PLC COM S|128.38
20140515|G5138L100|JST|685|JINPAN INT'L LTD(COMMON)|7.08
20140515|G5258J109|KING|43|KING DIGITAL ENTMT PLC ORD SHS|15.81
20140515|G5299G106|VLCCF|65|KNIGHTSBRIDGE TANKERS LTD|13.54
20140515|G5307C105|KFX|366|KOFAX LIMITED COM STK|6.76
20140515|G5315B107|KOS|2870|KOSMOS ENERGY LTD|10.42
20140515|G54050102|LAZ|956|LAZARD LTD|49.42
20140515|G5480U104|LBTYA|1431|LIBERTY GLOBAL PLC SHS CL A|43.78
20140515|G5480U120|LBTYK|16039|LIBERTY GLOBAL PLC SHS CL C (U|41.91
20140515|G5753U203|MHLDO|80|MAIDEN HLDGS LTD.7.25% MANDATO|49.76
20140515|G5784H106|MANU|1027|MANCHESTER UTD PLC NEW|16.61
20140515|G5785G107|MNK|376|MALLINCKRODT PUB LTD CO SHS (I|73.26
20140515|G5876H105|MRVL|5616|MARVELL TECH GROUP LTD|15.30
20140515|G60754101|KORS|477|MICHAEL KORS HLDGS LTD ORD SHS|93.38
20140515|G6209T105|MONT|16785|MONTAGE TECHNOLOGY GROUP LTD|19.81
20140515|G62185106|MRH|49|MONTPELIER RE HOLDINGS LTD|31.17
20140515|G62185114|MRHPRA|410|MONTPELIER RE HLDNG LTD NON CU|27.12
20140515|G6359F103|NBR|250|NABORS INDS LTD (NEW) BERMUDA |25.94
20140515|G64626164|G64626|272640|NEWLEAD HOLDINGS LTD (BMU)|1.00
20140515|G65773106|NAT|53461|NORDIC AMERICAN TANKERS LTD SH|8.53
20140515|G6583A102|NORD|1395|NORD ANGLIA EDUCATION INC ORD |17.87
20140515|G6648D109|HLSS|358|HOME LN SERVICING SOLUTIONS LT|21.82
20140515|G66721104|NCLH|193|NORWEGIAN CRUISE LINE HLDGS LT|32.41
20140515|G67742109|OB|165|ONEBEACON INSURANCE GROUP LTD |15.31
20140515|G67828106|SEED|1884|ORIGIN AGRITECH LIMITED|2.26
20140515|G6852T105|PRE|40853|PARTNERRE LTD|104.99
20140515|G6855A103|OXFD|1740|OXFORD IMMUNOTEC GLOBAL PLC|19.17
20140515|G6856M114|OXBRW|2522|OXBRIDGE RE HLDGS LTD WTS EXP |1.15
20140515|G68603128|PREPRF|1930|PARTNERRE LTD. REDEEMABLE PREF|24.36
20140515|G7114V102|PME|74347|PINGTAN MARINE ENTERPRISE LTD |3.10
20140515|G7114V110|PMEWW|1|PINGTAN MARINE ENTERPRISE LTD |0.17
20140515|G72457107|PRSG|3|PRIMUS GUARANTY LTD|8.03
20140515|G72800108|PRTA|227|PROTHENA CORP PLC SHS (IRL)|21.34
20140515|G73268115|QTNTU|1930|QUOTIENT LIMITED UNIT UNIT 1 S|7.09
20140515|G7496G103|RNR|455|RENAISSANCERE HOLDINGS LTD|100.10
20140515|G7498P119|RNRPRE|623|RENAISSANCERE HOLDGINGS LTD 5.|22.28
20140515|G7498P309|RNRPRC|1161|RENAISSANCERE HLDGS LTD 6.08% |24.95
20140515|G7945E105|SDRL|14763|SEADRILL LIMITED (BERMUDA)|35.52
20140515|G7945M107|STX|1031|SEAGATE TECH PLC (IRL)|51.25
20140515|G81075106|SFL|169|SHIP FINANCE INTERNATIONAL LTD|17.50
20140515|G81276100|SIG|294|SIGNET JEWELERS LTD COM SHS|100.11
20140515|G81477104|SINA|1292|SINA CORPORATION|47.77
20140515|G87210103|UTIW|453|UTI WORLDWIDE INC|9.19
20140515|G87264100|TGLS|16|TECNOGLASS INC COM|10.46
20140515|G8766E109|TGH|623|TEXTAINER GROUP HOLDINGS LTD (|38.05
20140515|G8827U100|TPRE|143|THIRD PT REINSURANCE LTD COM S|15.21
20140515|G88576106|THRSF|33191|Thunderbird Resorts, Inc. Ordi|0.91
20140515|G88685105|IDI|80|TIGER MEDIA INC (CYM)|0.88
20140515|G9108L124|TNPPRB|300|TSAKOS ENERGY NAVIGATION LTD R|24.24
20140515|G9160X107|UMEWF|2290|UMEWORLD LIMITED COM STK (VGB)|0.22
20140515|G9456A100|GLNG|44|GOLAR LNG LTD (BERMUDA)|44.37
20140515|G96666105|WSH|78|WILLIS GROUP HOLDINGS PUBLIC L|41.64
20140515|G97822103|PRGO|3738|PERRIGO COMPANY PLC (IRL)|131.26
20140515|G98290102|XL|2822|XL GROUP PLC ORDINARY SHS (IRE|32.23
20140515|H0023R105|ACE|939|ACE LIMITED (SWITZERLAND)|102.70
20140515|H01531104|AWH|144|ALLIED WORLD ASSURANCE COMP HL|108.98
20140515|H27013103|WFT|102|WEATHERFORD INT'L LTD (SWITZER|21.08
20140515|H27178104|FWLT|488|FOSTER WHEELER AG (SWITZERLAND|33.32
20140515|H2906T109|GRMN|87|GARMIN LTD COM STK (CH)|55.95
20140515|H50430232|LOGI|6286|LOGITECH INTERNATIONAL S.A .OR|13.06
20140515|H84989104|TEL|1483|TE CONNECTIVITY LTD|57.86
20140515|H8817H100|RIG|312671|TRANSOCEAN LTD (SWITZERLAND)|42.20
20140515|H89231338|UBS|23246|USB AG (NEW)|20.43
20140515|L0175J104|ASPS|139|ALTISOURCE PORTFOLIO SOLUTIONS|103.30
20140515|L0302D178|MTCN|256|ARCELORMITTAL 6% MANDATORILTY |24.45
20140515|L5140P101|I|26|INTELSAT S A COM (LUX)|18.95
