SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20140501|D1668R123|DDAIF|28428|DAIMLER AG|92.76
20140501|D18190898|DB|126305|DEUTSCHE BANK AG NAMEN AKT (DE|44.03
20140501|E8683R144|SANPRE|588|SANTANDER FIN PFD S.A. UNIPERS|26.18
20140501|G0083B108|ACT|1492|ACTAVIS PLC COM SHS (IRL)|204.33
20140501|G0129K104|AYR|314|AIRCASTLE LIMITED COM|17.57
20140501|G01767105|ALKS|1019|ALKERMES PLC ORDINARY SHS (IRE|46.26
20140501|G02602103|DOX|769|AMDOCS LTD ORD|46.53
20140501|G0335L102|ANFI|651|AMIRA NATURE FOODS LTD ORD SHS|15.56
20140501|G0408V102|AON|1852|AON PLC ORD SHS CL A NEW (UK) |84.88
20140501|G0450A105|ACGL|160|ARCH CAPITAL GROUP LTD|57.32
20140501|G0457F107|ARCO|246831|ARCOS DORADOS HOLDINGDS INC. C|9.11
20140501|G0464B107|AGII|13|ARGO GROUP INTERNATIONAL HOLDI|44.42
20140501|G0471F109|APAGF|744|APCO OIL AND GAS INTERNATIONAL|13.98
20140501|G05384105|AHL|29|ASPEN INSURANCE HOLDINGS LTD O|45.78
20140501|G05384147|AHLPRB|295|ASPEN INSURANCE HOLDINGS LIMIT|26.52
20140501|G06207115|AFH|267|ATLAS FINANCIAL HOLDINGS INC. |13.96
20140501|G0692U117|AXSPRD|1394|AXIS CAPITAL HLDGS LTD PFD SR |21.63
20140501|G0692U307|AXSPRC|3645|AXIS CAPITAL HOLDINGS LIMITED |25.83
20140501|G07021101|HELI|1100|CHC GROUP LTD ORDINARY SHARES |6.75
20140501|G10082140|EXXI|309|ENERGY XXI|23.93
20140501|G1151C101|ACN|441|ACCENTURE PLC CL-A ORDINARY SH|80.22
20140501|G1190F107|BCRH|3271|BLUE CAP REINS HLDGS LTD COM S|18.56
20140501|G16249107|BPY|7313|BROOKFIELD PPTY PARTNERS L P U|19.46
20140501|G16252101|BIP|1076|BROOKFIELD INFRASTRUCTURE PART|38.99
20140501|G16962105|BG|74|BUNGE LIMITED|79.65
20140501|G16962204|BGEPF|139|Bunge Limited 4.875% Perpetual|106.60
20140501|G20045202|CETV|7431|CENTRAL EUROPEAN MEDIA ENTRP-A|2.74
20140501|G21107100|CO|83573|CHINA CORD BLOOD CORP ORDINARY|4.31
20140501|G21125102|CNWHF|914682|CHINA NETWORKS INTL HLDGS LTD |0.17
20140501|G21174100|CNIT|123|CHINA INFORMATION|4.06
20140501|G2266G110|JACQW|275|COLLABRIUM JAPAN ACQUISITION C|0.07
20140501|G2266G128|JACQU|820|COLLABRIUM JAPAN ACQUISITIONCO|10.20
20140501|G23773107|CWCO|100|CONSOLIDATED WATER CO., INC.|11.62
20140501|G2519Y108|BAP|1438|CREDICORP LTD (COMM $5.00 PAR)|149.25
20140501|G25343107|CZZ|931|COSAN LIMITED SHS A (BERMUDA) |12.13
20140501|G2554F113|COV|672|COVIDIEN PLC|71.25
20140501|G27010100|DHRM|1730|DEHAIER MEDICAL SYS LTD COM ST|5.80
20140501|G27823106|DLPH|76|DELPHI AUTOMOTIVE PLC|66.84
20140501|G30397304|ENHPRB|564|ENDURANCE SPECIALTY HLDGS LTD |26.31
20140501|G3157S106|ESV|44091|ENSCO INTERNATIONAL PLC,LONDON|50.45
20140501|G3198U102|ESNT|3421|ESSENT GROUP LTD COM SHS (BMU)|18.85
20140501|G32030127|CLWT|546|EURO TECH HOLDINGS CO LTD NEW |4.33
20140501|G35569105|FLTX|4393|FLEETMATICS GROUP PLC (IRELAND|30.03
20140501|G3704F102|FFHL|1424|FUWEI FILMS (HOLDINGS) CO., LT|1.47
20140501|G3727Q101|FSL|11084|FREESCALE SEMICONDUCTOR LTD|21.97
20140501|G3788M114|EROS|40|EROS INTL PLC ORD SHS (IMN)|16.00
20140501|G39320117|GAI|1181|GLOBAL-TECH ADVANCED INNOVATIO|5.79
20140501|G4388N106|HELE|3141|HELEN OF TROY LTD-NEW-BERMUDA |62.70
20140501|G4412G101|HLF|173671|HERBALIFE LTD|59.98
20140501|G45667105|HOLI|5549|HOLLYSYS AUTOMATION TECHNOLOGI|21.41
20140501|G4705A100|ICLR|6600|ICON PLC ADR|38.77
20140501|G47791101|IR|1826|INGERSOLL-RAND PLC ORD SHS (IR|59.80
20140501|G491BT108|IVZ|2950|INVESCO LTD (NEW)|35.21
20140501|G50871105|JAZZ|546|JAZZ PHARMACEUTICALS PLC COM S|134.90
20140501|G5258J109|KING|6978|KING DIGITAL ENTMT PLC ORD SHS|17.15
20140501|G5307C105|KFX|2645|KOFAX LIMITED COM STK|7.58
20140501|G5315B107|KOS|826|KOSMOS ENERGY LTD|10.92
20140501|G54050102|LAZ|196|LAZARD LTD|47.05
20140501|G5480U104|LBTYA|6938|LIBERTY GLOBAL PLC SHS CL A|39.82
20140501|G5480U120|LBTYK|18461|LIBERTY GLOBAL PLC SHS CL C (U|38.43
20140501|G55598109|EVAR|300|LOMBARD MEDICAL INC COMMON|9.83
20140501|G5753U112|MHLD|133|MAIDEN HOLDINGS LTD COM STK (B|11.80
20140501|G5784H106|MANU|390|MANCHESTER UTD PLC NEW|16.63
20140501|G5785G107|MNK|10618|MALLINCKRODT PUB LTD CO SHS (I|71.23
20140501|G5876H105|MRVL|6881|MARVELL TECH GROUP LTD|15.86
20140501|G60754101|KORS|57|MICHAEL KORS HLDGS LTD ORD SHS|91.20
20140501|G6209T105|MONT|975|MONTAGE TECHNOLOGY GROUP LTD|20.79
20140501|G62185114|MRHPRA|115|MONTPELIER RE HLDNG LTD NON CU|26.91
20140501|G64626156|NEWL|20181|NEWLEAD HOLDINGS LTD NEW|0.11
20140501|G65431101|NE|3857|NOBLE CORP PLC ORD SHS (UK)|30.81
20140501|G65773106|NAT|115|NORDIC AMERICAN TANKERS LTD SH|8.63
20140501|G6648D109|HLSS|139|HOME LN SERVICING SOLUTIONS LT|22.15
20140501|G66721104|NCLH|1865|NORWEGIAN CRUISE LINE HLDGS LT|32.77
20140501|G67742109|OB|212|ONEBEACON INSURANCE GROUP LTD |15.44
20140501|G67828106|SEED|19432|ORIGIN AGRITECH LIMITED|2.04
20140501|G6855A103|OXFD|422|OXFORD IMMUNOTEC GLOBAL PLC|17.90
20140501|G6856M122|OXBRU|2099|OXBRIDGE RE HOLDINGS LTD UNIT |7.17
20140501|G68603508|PREPRE|100|PARTNERRE LTD. PFD SER E (BERM|27.01
20140501|G7114V102|PME|4919|PINGTAN MARINE ENTERPRISE LTD |3.07
20140501|G7114V110|PMEWW|1|PINGTAN MARINE ENTERPRISE LTD |0.18
20140501|G72436101|PACQF|335|PRIME ACQUISITION CORP|8.40
20140501|G72800108|PRTA|334|PROTHENA CORP PLC SHS (IRL)|22.00
20140501|G7415M108|RCON|340|RECON TECHNOLOGY LTD ORD SHS (|4.20
20140501|G7496G103|RNR|200|RENAISSANCERE HOLDINGS LTD|101.21
20140501|G7498P119|RNRPRE|701|RENAISSANCERE HOLDGINGS LTD 5.|21.80
20140501|G7498P309|RNRPRC|17|RENAISSANCERE HLDGS LTD 6.08% |24.60
20140501|G7945E105|SDRL|226397|SEADRILL LIMITED (BERMUDA)|35.22
20140501|G7945M107|STX|849|SEAGATE TECH PLC (IRL)|52.58
20140501|G7982P104|DJSP|176|DJSP ENTERPRISES INC (VG)|0.36
20140501|G80475109|SQZZF|13203|SERICA ENERGY PLC (UK)|0.17
20140501|G80751103|SGOC|4423|SGOCO TECHNOLOGY LTD ORD SHS (|2.40
20140501|G81075106|SFL|46|SHIP FINANCE INTERNATIONAL LTD|17.63
20140501|G81276100|SIG|52|SIGNET JEWELERS LTD COM SHS|101.32
20140501|G87210103|UTIW|98459|UTI WORLDWIDE INC|9.79
20140501|G87264100|TGLS|50|TECNOGLASS INC COM|10.36
20140501|G88576106|THRSF|9742|Thunderbird Resorts, Inc. Ordi|0.98
20140501|G89982113|TAT|697|TRANSATLANTIC PETROLEUM LTD OR|9.16
20140501|G9108L108|TNP|3999|TSAKOS ENERGY NAVIGATION LTD|7.13
20140501|G9108L132|TNPPRC|2916|TSAKOS ENERGY NAVIGATION LTD R|25.03
20140501|G93205113|VTG|2796|VANTAGE DRILLING COMPANY ORD S|1.67
20140501|G93285107|VELTF|200|VELTI PLC, ST HELIER ORDINARY |0.02
20140501|G9456A100|GLNG|808|GOLAR LNG LTD (BERMUDA)|44.20
20140501|G9618E107|WTM|21|WHITE MOUNTAINS INSRN GRP,LTD |596.26
20140501|G96666105|WSH|71|WILLIS GROUP HOLDINGS PUBLIC L|40.99
